userID	questionID	rating
7777	31073	2
7777	8615	1
7777	40712	1
7777	2561	2
7777	22207	2
7777	36555	1
7777	28173	2
7777	19236	1
7777	4153	3
7777	7231	2
7777	18870	2
7777	189	3
7777	4186	2
7777	7445	2
7777	18562	1
7777	18543	2
7777	38708	2
7777	28865	1
7777	2400	3
7777	22507	2
7777	8541	2
7777	8250	2
7777	7878	2
7777	23289	1
7777	43927	2
7777	3131	2
7777	19291	2
7777	9030	2
7777	2686	2
7777	19393	2
7777	18423	2
7777	23379	2
7777	20565	2
7777	8626	2
7777	30495	2
7777	18112	2
7777	31481	2
7777	19715	2
7777	16765	2
7777	3612	1
7777	37121	2
7777	26502	1
7777	40218	1
7777	22241	1
7777	42086	1
7777	20139	2
7777	41801	2
7777	4983	2
7777	10494	1
7777	14581	1
7777	3738	2
7777	28932	2
7777	7367	2
7777	3410	1
7777	42886	2
9000	5962	2
9000	23648	3
9000	39443	3
9000	805	2
9000	4611	2
9000	5865	2
9000	22609	2
9000	20645	2
9000	20852	2
9000	10809	1
9000	487	2
9000	14805	2
9000	16253	2
9000	28180	2
9000	18987	2
9000	5119	3
9000	4441	1
9000	9792	2
9000	35736	2
9000	22007	1
9000	17594	3
9000	31665	2
9000	3794	2
9000	35013	3
9000	3186	2
9000	42479	2
9000	31047	2
9000	23899	2
9000	9860	1
9000	7589	2
9000	2150	2
9000	39904	2
9000	34234	2
9000	9158	2
9000	1065	2
9000	32155	2
9000	3430	2
9000	4873	2
9000	44905	2
9000	28173	3
9000	18954	3
9000	6738	2
9000	44844	2
9000	10494	2
9000	5252	2
9000	23415	2
9000	4860	2
9000	22234	1
9000	1508	2
9000	242	2
9000	44952	2
9000	43868	1
9000	22285	2
9000	22562	2
9000	4638	1
9000	641	2
9000	7461	3
9000	14665	1
9000	17440	2
9000	3028	2
9000	23945	3
9000	7722	1
9000	10970	2
9000	1908	2
9000	4182	2
9000	2790	3
9000	27504	3
9000	5967	2
9000	23574	2
9000	15159	2
9000	35963	2
9000	8461	2
9000	9797	2
9000	155	2
9000	4645	1
9000	8119	2
9000	44343	3
9000	20373	3
9000	27749	3
9000	27721	3
4444	6932	2
4444	4862	1
4444	23802	2
4444	19373	2
4444	19948	2
4444	44787	2
4444	9268	2
4444	4621	2
4444	2108	1
4444	30400	2
4444	34226	2
4444	44804	2
4444	45264	2
4444	23807	1
4444	20006	2
